<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALGN,D,23/02/24,00:00:00,315.865,321.685,315.75,316.98,19300
ALGN,D,26/02/24,00:00:00,314.065,314.13,310.78,310.78,5433
ALGN,D,27/02/24,00:00:00,312,313.28,308.21,312.86,7404
ALGN,D,28/02/24,00:00:00,305.64,307.33,302.33,302.33,5182
ALGN,D,29/02/24,00:00:00,304.08,306.04,302.01,302.3,4885
ALGN,D,01/03/24,00:00:00,301.755,304.15,297.48,299.78,15998
ALGN,D,04/03/24,00:00:00,301.99,310.345,300.38,307.8,16946
ALGN,D,05/03/24,00:00:00,303.26,303.87,297.08,299.6,5229
ALGN,D,06/03/24,00:00:00,306.5,306.5,303,303.82,4625
ALGN,D,07/03/24,00:00:00,309.25,312.58,307.72,310.8,4985
ALGN,D,08/03/24,00:00:00,313.62,318.09,310.59,312.57,5613
ALGN,D,11/03/24,00:00:00,309.15,309.96,306.06,308.22,3600
ALGN,D,12/03/24,00:00:00,309.83,312.24,306.48,310.82,3417
ALGN,D,13/03/24,00:00:00,315,324.58,315,320.76,16714
ALGN,D,14/03/24,00:00:00,322.65,322.65,312.785,316.94,11584
ALGN,D,15/03/24,00:00:00,316.29,319.28,313.46,314.25,7424
ALGN,D,18/03/24,00:00:00,317.76,320,315.75,316.23,6984
ALGN,D,19/03/24,00:00:00,315.64,319.07,314.15,317.22,3195
ALGN,D,20/03/24,00:00:00,319.53,329.32,319.53,329.32,9829
ALGN,D,21/03/24,00:00:00,334.36,334.36,321.05,321.05,10245
ALGN,D,22/03/24,00:00:00,321.23,321.23,315.06,319.62,6811
ALGN,D,25/03/24,00:00:00,319.67,322.48,318.7,319.29,5092
ALGN,D,26/03/24,00:00:00,320.12,323.16,317.13,320,4503
ALGN,D,27/03/24,00:00:00,325.4,328.2,324.93,327.69,5481
ALGN,D,28/03/24,00:00:00,328.925,329.27,326.445,328.36,7447
ALGN,D,01/04/24,00:00:00,323.075,323.7,313.41,319.77,7889
ALGN,D,02/04/24,00:00:00,309.915,312.43,301.12,312.15,13981
ALGN,D,03/04/24,00:00:00,312.98,313.32,309.71,310.28,10371
ALGN,D,04/04/24,00:00:00,315.88,319.45,308.74,314.7,15573
ALGN,D,05/04/24,00:00:00,317.09,321.52,316.06,317.66,11272
ALGN,D,08/04/24,00:00:00,318.64,320.2,317.02,320.19,7564
ALGN,D,09/04/24,00:00:00,323.35,330.92,323.225,330.53,8897
ALGN,D,10/04/24,00:00:00,322.75,328.42,321.72,328.33,12705
ALGN,D,11/04/24,00:00:00,331.22,331.22,319.74,325.45,6563
ALGN,D,12/04/24,00:00:00,319.89,322.72,311.72,314.92,5928
ALGN,D,15/04/24,00:00:00,317.06,317.06,303.32,304.69,6565
ALGN,D,16/04/24,00:00:00,301.18,307.8,297.64,305.29,7415
ALGN,D,17/04/24,00:00:00,300.51,304.03,297.72,300.27,9772
ALGN,D,18/04/24,00:00:00,300.37,306,298.98,301.53,4955
ALGN,D,19/04/24,00:00:00,301.24,302.51,296.91,299.01,7972
ALGN,D,22/04/24,00:00:00,299.43,303.28,297.25,300.97,3995
ALGN,D,23/04/24,00:00:00,300,312.14,300,311.72,8228
ALGN,D,24/04/24,00:00:00,310.51,315.6,308.11,313.91,16571
ALGN,D,25/04/24,00:00:00,325.81,325.81,298.38,310.71,30147
ALGN,D,26/04/24,00:00:00,309.51,321.73,308.21,309.12,13012
ALGN,D,29/04/24,00:00:00,311.21,313.1,303.5,304.99,8113
ALGN,D,30/04/24,00:00:00,297.28,297.28,282.3,282.61,20520
ALGN,D,01/05/24,00:00:00,282.31,291.24,278.57,284.45,9383
ALGN,D,02/05/24,00:00:00,286.55,287.79,281.435,286.51,7885
ALGN,D,03/05/24,00:00:00,293.68,294.52,287.76,287.85,3755
ALGN,D,06/05/24,00:00:00,289,289,285.62,287.15,9482
ALGN,D,07/05/24,00:00:00,286.97,291.42,285.72,286.78,6967
ALGN,D,08/05/24,00:00:00,277.19,277.19,265.04,273.56,27314
ALGN,D,09/05/24,00:00:00,274.76,280.44,273.25,280.15,11773
ALGN,D,10/05/24,00:00:00,280.18,280.18,267.04,271.78,17417
ALGN,D,13/05/24,00:00:00,273.65,276.21,271.03,272.68,8000
ALGN,D,14/05/24,00:00:00,275.27,281.4,274.485,277.96,9301
ALGN,D,15/05/24,00:00:00,280.92,281.76,275.81,280.11,8729
ALGN,D,16/05/24,00:00:00,281.99,282.19,273.72,273.72,4589
ALGN,D,17/05/24,00:00:00,270.36,271.99,268.99,271.44,15306
ALGN,D,20/05/24,00:00:00,270,272.145,266.695,267.15,17282
ALGN,D,21/05/24,00:00:00,265.02,266.57,262.17,264.09,5600
ALGN,D,22/05/24,00:00:00,262.75,264.41,260.44,260.97,6024
ALGN,D,23/05/24,00:00:00,260.53,260.53,250.3,252.17,21660
ALGN,D,24/05/24,00:00:00,253.05,257.93,253.05,255.43,19959
ALGN,D,28/05/24,00:00:00,253.79,256.58,251.87,253.46,18545
ALGN,D,29/05/24,00:00:00,250.34,254.41,250.11,252.61,18354
ALGN,D,30/05/24,00:00:00,253.86,259.79,253.86,256.81,50562
ALGN,D,31/05/24,00:00:00,258,258,253,257.57,41769
ALGN,D,03/06/24,00:00:00,256.41,259.49,254.13,254.54,20099
ALGN,D,04/06/24,00:00:00,253.86,253.86,246.63,248.93,22284
ALGN,D,05/06/24,00:00:00,249.93,257.25,248.52,256.01,16293
ALGN,D,06/06/24,00:00:00,254.65,259.34,254.44,257.68,25886
ALGN,D,07/06/24,00:00:00,252.76,259.96,252.76,255.51,14604
ALGN,D,10/06/24,00:00:00,254.93,256.77,252.67,255.95,13288
ALGN,D,11/06/24,00:00:00,252.91,255.46,252.77,253.21,6266
ALGN,D,12/06/24,00:00:00,258.61,266.7,258.61,265.97,19155
ALGN,D,13/06/24,00:00:00,266.03,271.37,265.52,271.27,13000
ALGN,D,14/06/24,00:00:00,268.52,268.83,252.29,256.13,41942
ALGN,D,17/06/24,00:00:00,251.89,251.89,244.67,245.41,12235
ALGN,D,18/06/24,00:00:00,244.47,247.18,241.89,241.93,12606
ALGN,D,20/06/24,00:00:00,239,244.72,238.04,242.43,20318
ALGN,D,21/06/24,00:00:00,243.54,243.98,240.57,241.47,20388
ALGN,D,24/06/24,00:00:00,242.76,243.76,236.55,236.96,20560
ALGN,D,25/06/24,00:00:00,236.82,237.5,233.61,235.24,13846
ALGN,D,26/06/24,00:00:00,233.27,244.62,233.27,243.59,23322
ALGN,D,27/06/24,00:00:00,242.02,244.12,239.9,242.98,9499
ALGN,D,28/06/24,00:00:00,242.11,243.895,240.48,241.39,13783
